text_id,text,label,metadata__party,metadata__year,metadata__split
409,The Indian National Congress also believes that the two countries must take note of India’s security concerns in a more meaningful manner .,no pledge,INC,2009,trn
737,"The Brahmaputra Board will be activated and studies, demonstration projects and actual schemes will be taken up .",pledge,INC,1999,trn
376,Indian industry will be encouraged in every manner to enhance its global presence .,no pledge,INC,2004,trn
333,"The Indian National Congress remains committed to ensuring the highest standards of corporate governance in private companies, especially to protect the interests of small shareholders and small investors .",no pledge,INC,2009,trn
36,It said it would give us a review of our security environment .,no pledge,INC,1999,trn
767,"8 . On Sri Lanka, we will engage with that country to ensure that the Tamil - speaking people and other minorities have full equality and equal rights under the law .",no pledge,INC,2014,trn
527,"Congress will support government and private efforts to establish museums, art galleries, libraries and archives .",no pledge,INC,2019,trn
579,"This will include, but not be limited to capital assistance in new educational projects, both for basic and technical education, in low - income minority areas .",no pledge,BJP,2009,trn
558,"Income tax benefits for senior citizens will be made available at 60 years, instead of 65 years as is the practice at present .",pledge,BJP,2009,trn
146,The security forces have also successfully foiled the plans of Naxalites to expand their nefarious activities .,no pledge,INC,2009,trn
789,Senior officers will be suitably empowered to take timely and bold decisions .,no pledge,BJP,2004,trn
469,The NDA Government remains committed to the goal of ‘Housing for All by 2010’ .,no pledge,BJP,2004,trn
363,"Through the idea of Rurban, we will bring urban amenities to our rural areas, while retaining the soul of the village .",no pledge,BJP,2014,trn
462,Fund for relief and rehabilitation of rape victims lies unused at the Centre as the Government has not worked out the modalities of dispensation .,pledge,BJP,2014,trn
740,India’s security preparedness will be based on a comprehensive security doctrine that combines conventional and strategic measures .,no pledge,INC,2014,trn
391,"Household and artisanal manufacturing industry that is the lifeline of many towns and cities across the country will be modernized and given greater technological, investment and marketing support .",no pledge,INC,2004,trn
176,We are committed to extending the SC/ST reservations for another 10 years .,pledge,BJP,1999,trn
699,They will be suitably assisted to play a bigger and more effective role in improving the health profile of the rural poor .,no pledge,BJP,2004,trn
249,A national scheme of health insurance for families living below the poverty line will be proposed .,pledge,INC,2004,trn
710,Review obsolete and multiple laws to reduce and simplify them .,no pledge,BJP,2014,trn
286,"Since devolution requires the decentralisation of functions, functionaries and finances, it will be ensured that budgets, staff, other resources and corresponding authority are Integrated into the devolution package ;",pledge,INC,1999,trn
573,The pace of construction of hydel projects particularly will be speeded up .,no pledge,INC,1999,trn
327,The abolition of poverty remains the foremost goal of the Congress .,no pledge,INC,2019,trn
126,"All financial transactions, purchase of property and access to public services will be possible only on the basis of the National Identity Card which will be made forgery and hacking resistant .",no pledge,BJP,2009,trn
65,It was Rajiv Gandhi who declared Swami Vivekananda's birth anniversary on January 12th as National Youth Day .,no pledge,INC,2004,trn
179,"With improved compliance and increased tax base, the tax to GDP ratio has reached 12%, highest in the recent past, up from 10 . 1% in 2013 - 14 .",no pledge,BJP,2019,trn
256,Organisations that supply inputs to farmers will be converted into farmer managed and controlled organisations .,no pledge,INC,1999,trn
495,"Public spending on education would be raised to 6% of the GDP, and involving the private sector would further enhance this .",pledge,BJP,2014,trn
85,We recognize the special needs and unique problems of the hill and desert states .,no pledge,BJP,2014,trn
49,It is the Congress that launched liberalization and economic reforms .,no pledge,INC,2004,trn
1,We have demonstrated what all can be achieved by a committed and decisive leadership that is not afraid to take hard decisions .,no pledge,BJP,2019,trn
438,"The Constitution will be amended to provide for one - third reservations for women ln the Lok Sabha, Rajya Sabha, Vidhan Sabhas and Vidhan Parishads .",pledge,INC,1999,trn
737,"The Integrated Child Development Scheme (ICDS), the world’s largest early childcare programme, will be further strengthened .",no pledge,BJP,2004,trn
720,6 . The Indian National Congress government will support all measures taken by the judiciary to improve court management so as to ensure quick and timely disposal of cases .,no pledge,INC,2014,trn
22,The physical infrastructure of the country has undergone an unprecedented upgrade in the last five years .,no pledge,BJP,2019,trn
12,"In that period, the Congress gave to the country five Prime Ministers .",no pledge,INC,1999,trn
440,Our science and technology policy will be framed and implemented so as to be in harmony with our worldview of the larger human family .,no pledge,BJP,2009,trn
297,A number of programmes have already been launched to combat the still widely - prevalent phenomenon of child malnutrition and these will be infused with an even greater sense of urgency .,no pledge,INC,2009,trn
588,"We need to work effectively to increase household access to LPG and kerosene, especially the availability to rural households .",no pledge,INC,2014,trn
231,"All possible meaures will be taken to setup the momentum of public investment in agriculture, especially in the backward and poorer regions .",pledge,INC,1999,trn
207,An intensive agricultural development programme for the 100 - odd districts In the arid and semi - arid regions of the country will be put In place .,pledge,INC,2004,trn
474,Congress promises to pass a Law on Asylum consistent with international treaties and conventions .,pledge,INC,2019,trn
816,"The institution of the Gram Sabha will be strengthened to discuss every developmental work, scrutinize the allocation and spending of funds, and evaluate the performance of panchayat and government functionaries .",no pledge,BJP,2004,trn
682,Article 370 poses a psychological barrier for the full integration of the people of Jammu & Kashmir with the national mainstream .,no pledge,BJP,2009,trn
178,We will establish an appropriate legal framework for the protection of the environment and unveil a National Environment Policy to balance between development and ecology .,no pledge,BJP,1999,trn
284,We will combat communalism of all kinds and caste atrocities with determination .,no pledge,INC,2009,trn
17,"Jammu & Kashmir basks again in the sunshine of regained peace, well set now on the road to development .",no pledge,BJP,2004,trn
106,Regional aspirations : BJP has always stood for greater decentralization through smaller States .,no pledge,BJP,2014,trn
757,"We will modernize existing ports on one hand, and develop new ones on the other - stringing together our Sagar Mala project .",pledge,BJP,2014,trn
557,Social obligations will be on an even footing for both public and private companies in the insurance industry .,no pledge,INC,1999,trn
890,"The existing machinery to resettle, rehabilitate and to look after the welfare of the ex - servicemen and their families will be strengthened .",no pledge,INC,1999,trn
777,Courts all over the country will be computerized and networked for improving their efficiency .,pledge,BJP,2004,trn
319,"The Governments of Gujarat, Madhya Pradesh and Chhattisgarh have successfully implemented the tribal welfare and development schemes and their model would be used for tribal welfare and development .",no pledge,BJP,2014,trn
440,"Vote for Security, Stability, Continuity and Integrity : Vote Indian National Congress",no pledge,INC,2009,trn
716,Both these programmes will be run with the active involvement of the elected panchayats .,no pledge,INC,1999,trn
438,The BJP government left the National Security Advisory Board in limbo between January 2015 and October 2016 and then truncated the body .,pledge,INC,2019,trn
325,Technologies to promote low - cost housing will be deployed on a large scale .,no pledge,INC,2004,trn
745,"Growth of this sector means the growth of cement, steel, electricity and many other associated industries and directly leads to massive job creation .",no pledge,BJP,2014,trn
258,special steps will be taken to spread modem and technical education among women in minority communities particularly .,no pledge,INC,2004,trn
118,An age - old blot on our society will finally be erased .,no pledge,INC,2014,trn
130,The BJP has fostered corruption to an unprecedented degree with scams after scams being revealed .,no pledge,INC,2004,trn
487,A new and simplified Direct Taxes Act will be made public for discussion before its introduction .,pledge,INC,1999,trn
394,Provisions for certification of skills acquired traditionally or through private initiatives shall be made .,no pledge,BJP,2009,trn
705,There has been significant investment in improving the infrastructure and the working conditions of judges .,no pledge,INC,2014,trn
110,We shall strive to improve the quality of education at all levels — from primary schools to our universities .,no pledge,BJP,1999,trn
445,Congress had also proposed to establish the National Counter - Terrorism Centre and NATGRID .,no pledge,INC,2019,trn
520,The Indian National Congress commits to 10% growth in manufacturing and an increase in contribution of manufacturing sector’s share to 25% of GDP .,no pledge,INC,2014,trn
